S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
1,10000,CERT,1,1612262826,failed,08A0QB7J29,2020/2021,nil,UNPRINTED,HND,NIL
2,10000,CERT,1,1612268902,failed,NBVCJ57160,2020/2021,nil,UNPRINTED,ND,NIL
3,25000,CERT,1,1613550664,failed,9FUKJ0V56,2020/2021,nil,UNPRINTED,ND,NIL
4,20000,TRANS,1,1612344555,failed,SH2FKE67PU,2020/2021,nil,UNPRINTED,ND,NIL
5,20000,TRANS,1,1612344065,failed,GCBPFES7A8,2020/2021,nil,UNPRINTED,HND,NIL
6,10000,CERT,1,1612348426,failed,10R6TM2KNV,2020/2021,nil,UNPRINTED,ND,NIL
7,20000,TRANS,1,1612359036,failed,JGDURF9QCV,2020/2021,nil,UNPRINTED,HND,NIL
8,10000,TRANS,1,1613468505,successful,VEN4MC2PT,2020/2021,nil,PRINTED,HND,NIL
9,25000,CERT,1,1614928878,failed,20J9Q7WU8,2020/2021,nil,UNPRINTED,HND,NIL
10,10000,CERT,1,1612413442,failed,1UFDA4KEST,2020/2021,nil,UNPRINTED,HND,NIL
11,10000,CERT,1,1612436224,failed,1B9K462DG8,2020/2021,nil,UNPRINTED,,NIL
12,10000,CERT,1,1612437899,failed,2M9F75DKB8,2020/2021,nil,UNPRINTED,ND,NIL
13,20000,CERT,1,1612448494,failed,25SBJ0198G,2020/2021,nil,UNPRINTED,ND,NIL
14,10000,TRANS,1,1612448481,failed,25SBJ0198G,2020/2021,nil,UNPRINTED,ND,NIL
15,20000,CERT,1,1612448692,failed,9BS6FAN1H5,2020/2021,nil,UNPRINTED,HND,NIL
16,25000,CERT,1,1612536641,failed,W4DT61MUB,2020/2021,nil,UNPRINTED,ND,NIL
17,25000,CERT,1,1612450121,failed,2CM10RUV9,2020/2021,nil,UNPRINTED,ND,NIL
18,25000,CERT,1,1612462988,failed,VNC6SGT1W,2020/2021,nil,UNPRINTED,ND,NIL
19,25000,CERT,1,1612463367,failed,89U7SKTFV,2020/2021,nil,UNPRINTED,ND,NIL
20,10000,CERT,1,1612467494,successful,S528MFPJ4,2020/2021,nil,UNPRINTED,ND,NIL
21,25000,CERT,1,1612468923,successful,U8P5EQNC0,2020/2021,nil,UNPRINTED,,YES
22,25000,CERT,1,1612522890,failed,07UD45CNM,2020/2021,nil,UNPRINTED,ND,NIL
23,25000,CERT,1,1612524997,successful,N27T0SB0G,2020/2021,nil,PRINTED,ND,NIL
24,25000,CERT,1,1612785767,successful,KWNTB46MC,2020/2021,nil,PRINTED,ND,YES
25,10000,TRANS,1,1612531558,failed,QDPVAKCR7,2020/2021,nil,UNPRINTED,,NIL
26,25000,CERT,1,1614061573,successful,B05DR2UQS,2020/2021,nil,PRINTED,HND,NIL
27,25000,CERT,1,1623840405,successful,AM4H7C1KR,2020/2021,nil,PRINTED,ND,NIL
28,25000,CERT,1,1612540851,successful,B05DR2UQS,2020/2021,nil,UNPRINTED,,YES
29,25000,CERT,1,1612540930,successful,B05DR2UQS,2020/2021,nil,UNPRINTED,ND,YES
30,10000,TRANS,1,1619781071,successful,5VWGSQD74,2020/2021,nil,UNPRINTED,ND,YES
31,10000,TRANS,1,1613380837,successful,92A04VU1F,2020/2021,nil,PRINTED,HND,NIL
32,10000,TRANS,1,1612870693,failed,60RGDJPWQ,2020/2021,nil,UNPRINTED,HND,NIL
33,25000,CERT,1,1612683373,failed,E7GJDVT4B,2020/2021,nil,UNPRINTED,ND,NIL
34,10000,TRANS,1,1612720246,successful,UWE0A4JF9,2020/2021,nil,PRINTED,ND,YES
6703,25000,CERT,1,1638727856,successful,0PDB9NTHF,2021/2022,nil,PRINTED,ND,NIL
36,25000,CERT,1,1612766918,successful,NCRV50SWH,2020/2021,nil,PRINTED,ND,YES
